Batch,Time,Scale,G,O,X,Xd,P,L,CO2,Noise_Level_ID,Noise_Level
Batch_0,0.0,0.5,9.413777655972646,10.239783519205496,4.864177138680109,0.0,0.0,0.0,5.031283367388251,1,0.01
Batch_0,0.034482758620689655,0.5,9.10768091157421,10.487795971319482,5.247419681583535,0.0882467009417052,0.0712696153058965,0.2098575842662312,4.9793896124725565,1,0.01
Batch_0,0.06896551724137931,0.5,8.921763335306133,10.27894247503522,5.593148312807038,0.18011395845457623,0.2108712004548084,0.35947640801623854,5.005452344250525,1,0.01
Batch_0,0.10344827586206896,0.5,8.727352586812954,10.142236514075568,6.012886328107346,0.2815539587122423,0.39021436165206963,0.47386194383233693,5.134524498180875,1,0.01
Batch_0,0.13793103448275862,0.5,8.294499822743706,10.291030784463539,6.603129111082631,0.3897056045236878,0.6298874748018534,0.5534994474540019,5.160514410754426,1,0.01
Batch_0,0.1724137931034483,0.5,7.995900891085181,10.024610561398385,7.147296899787254,0.5008444742644832,0.9115600199765719,0.6026586925741607,5.283038527583798,1,0.01
Batch_0,0.20689655172413793,0.5,7.817896437305833,10.094841894201164,7.589228483426746,0.6361642805130813,1.1752571044702524,0.6560718559730147,5.355277037072102,1,0.01
Batch_0,0.24137931034482757,0.5,7.413402628184233,9.786071112881261,8.265503089177276,0.7720034467583982,1.4972017351238076,0.6708662321316964,5.421402577153382,1,0.01
Batch_0,0.27586206896551724,0.5,6.961552325176155,9.73963719940155,8.854674338577055,0.9162779957244468,1.8449993128463211,0.6733938758759588,5.484718203057851,1,0.01
Batch_0,0.3103448275862069,0.5,6.642528387323163,9.758604751802467,9.457352757676993,1.0714001119256906,2.1835607940105244,0.6927088035018296,5.563332317506858,1,0.01
Batch_0,0.3448275862068966,0.5,6.163155546716629,9.65682784468182,10.315392767590605,1.2264792644562992,2.515920999828056,0.6829777973600973,5.751962062764562,1,0.01
Batch_0,0.3793103448275862,0.5,5.721212166191727,9.424766024541242,11.280162002180937,1.4218897535529762,2.9235882483073734,0.6927567889700426,5.96928973331067,1,0.01
Batch_0,0.41379310344827586,0.5,5.28607160411122,9.194465412152091,12.016951790798116,1.6210773738988329,3.2534617609374457,0.6897978348378013,6.084959941560774,1,0.01
Batch_0,0.4482758620689655,0.5,4.675129043687958,8.945841259378339,13.229558921000764,1.8271884361461774,3.668685350901659,0.668052083011721,6.160654389272372,1,0.01
Batch_0,0.48275862068965514,0.5,4.153362909700491,8.581065050216742,13.761755428432393,2.0717832463534234,3.9704350903019017,0.6686080993712382,6.429256719488248,1,0.01
Batch_0,0.5172413793103449,0.5,3.6327693451398226,8.351894686772395,15.481376312504374,2.3378885041350275,4.418142914467808,0.6495966971851344,6.636841196922811,1,0.01
Batch_0,0.5517241379310345,0.5,3.019215041063248,8.040714201850571,16.718274346421346,2.6529983943076303,4.641115531234673,0.6312769521597019,6.757026089821224,1,0.01
Batch_0,0.5862068965517241,0.5,2.431210823890004,7.784647043778657,18.12451139142196,2.9085814625098863,4.967439158857644,0.6084785860228162,7.044446464706332,1,0.01
Batch_0,0.6206896551724138,0.5,1.7732873673924152,7.310856199955702,19.77548364847337,3.23771530033513,5.304781950242998,0.5535724930705632,7.2593534750203395,1,0.01
Batch_0,0.6551724137931034,0.5,1.163344998573256,6.7047773114855636,20.932721278034588,3.580059321588598,5.437404065985423,0.4875678036170954,7.3852119801816185,1,0.01
Batch_0,0.6896551724137931,0.5,0.6623060942700181,6.345356229483214,22.733072588678926,3.8863674298860365,5.715032050128013,0.39153836600391895,7.68662584218312,1,0.01
Batch_0,0.7241379310344828,0.5,0.2821984873385187,5.774692714667642,23.8107033176553,4.361645534611889,5.916775372861333,0.26307257777005005,7.834958566902056,1,0.01
Batch_0,0.7586206896551724,0.5,0.09585159728417582,5.225720391999318,24.379556394749013,4.7766042153096295,5.822957788563106,0.13724652697282408,7.9345970169561575,1,0.01
Batch_0,0.7931034482758621,0.5,0.027575389575755022,4.765291055161968,23.7544643407232,5.313113265613626,5.963348490295913,0.05599641975565518,7.933610798376267,1,0.01
Batch_0,0.8275862068965517,0.5,0.00773852530995433,4.2759176583454925,23.361222544359006,5.581780256930077,5.981381326620349,0.019488944330940228,7.716331495410588,1,0.01
