Batch,Time,Scale,G,O,X,Xd,P,L,CO2,Noise_Level_ID,Noise_Level
Batch_0,0.0,0.5,5.533661431211842,11.954063520269749,2.9904587749550178,0.0,0.0,0.0,5.547642533565696,5,0.05
Batch_0,0.034482758620689655,0.5,5.749023544372425,11.303602239055179,3.711484933044402,0.05764205297363512,0.0461685212574163,0.13058209424734943,4.7163582617762545,5,0.05
Batch_0,0.06896551724137931,0.5,5.27883251039092,11.883864774185238,4.295312106652493,0.1198315114477521,0.12155953800551837,0.24635155549061494,4.912372318386854,5,0.05
Batch_0,0.10344827586206896,0.5,5.173996526407539,11.687329358523888,4.3554626434610295,0.1820274201549315,0.25938797473055186,0.3554699658325452,5.211645223206509,5,0.05
Batch_0,0.13793103448275862,0.5,4.958113629036565,12.21477925590814,4.88995254725618,0.25888196311681316,0.4088192739868263,0.43796620357132127,5.018684555870461,5,0.05
Batch_0,0.1724137931034483,0.5,4.559995499045716,11.666077055247404,4.951276984565388,0.34471777626264255,0.5768491033848316,0.46613539606953086,4.393134872444769,5,0.05
Batch_0,0.20689655172413793,0.5,4.513153822450249,11.167491146053843,5.474544077956959,0.45523569241324136,0.7266770384141602,0.5895827602916017,5.080057543063598,5,0.05
Batch_0,0.24137931034482757,0.5,4.2150697008005,11.951643250190882,6.097633452473539,0.5687751464424168,0.9663921491250199,0.5200936832077621,5.502654353251831,5,0.05
Batch_0,0.27586206896551724,0.5,3.916199459985251,11.52792687589721,6.623772730627604,0.5982400310771491,1.2058842414676036,0.5990719217069507,4.88002580539684,5,0.05
Batch_0,0.3103448275862069,0.5,3.578932366408278,10.556066540624144,6.92718033899843,0.7317268437956144,1.4229611559740583,0.6173854752457668,5.377329534273145,5,0.05
Batch_0,0.3448275862068966,0.5,3.4623452424382615,11.633325175719735,8.05765892520433,0.9370756025288624,1.8104535095032412,0.5632926798800905,4.886340218097407,5,0.05
Batch_0,0.3793103448275862,0.5,3.2563039706351686,11.095767351341399,9.280071894749785,1.0919702427168783,2.3143214767472506,0.6567521883772647,5.733233562406188,5,0.05
Batch_0,0.41379310344827586,0.5,2.973132096091425,11.45419074471954,9.122840886309465,1.1297035917347007,2.3414964652765664,0.5858097103414214,5.66440403177907,5,0.05
Batch_0,0.4482758620689655,0.5,2.2803721605725036,10.615436939324066,10.770813610107046,1.4554422805355556,2.893769940065789,0.5972936682149442,5.546513415471865,5,0.05
Batch_0,0.48275862068965514,0.5,2.2354246494441106,10.233287938602935,11.74803853225308,1.585328603331394,2.8984369219330706,0.5829485289657836,5.706888681525955,5,0.05
Batch_0,0.5172413793103449,0.5,1.7003668408556247,11.288723639415819,12.510552872181766,1.8629017632304803,3.0823892089266556,0.504746146597769,5.508276843258256,5,0.05
Batch_0,0.5517241379310345,0.5,1.2102906403275453,10.83556100534345,14.107699545198756,1.9371617646914499,3.806603220842587,0.4770137862100988,6.388720053730388,5,0.05
