Batch,Time,Scale,G,O,X,Xd,P,L,CO2,Noise_Level_ID,Noise_Level
Batch_0,0.0,0.5,7.9931597035890185,15.64737201617133,3.3283525798137106,0.0,0.0,0.0,5.149299440652878,4,0.04
Batch_0,0.034482758620689655,0.5,7.669143966738589,14.750921058035338,3.703482427583624,0.06485064363601416,0.054793695249741516,0.15961359771818495,4.669097145712504,4,0.04
Batch_0,0.06896551724137931,0.5,7.922317937650718,14.527285913081302,4.156738002750458,0.12297050058223903,0.14694909550578028,0.28506774252394784,5.010561415521796,4,0.04
Batch_0,0.10344827586206896,0.5,7.466152003974563,15.194730162641775,4.602618034248585,0.2007905160983294,0.2842211822656438,0.3672784709367097,4.992008915398587,4,0.04
Batch_0,0.13793103448275862,0.5,7.422264535076187,14.968420413838164,4.643650475987164,0.2942876663416544,0.44968808648699915,0.46863096781543223,5.28263835839915,4,0.04
Batch_0,0.1724137931034483,0.5,7.29360571256477,14.807251276943507,4.695235574535784,0.35455333953177043,0.616940051952368,0.5313147234810612,5.157404518331517,4,0.04
Batch_0,0.20689655172413793,0.5,7.3271530663219355,15.201543855267206,5.071709840532677,0.4256503528458162,0.8414493460713327,0.5768432667366447,5.264553382411367,4,0.04
Batch_0,0.24137931034482757,0.5,6.95903997151209,14.317826615394637,5.411018180011135,0.5706081771240946,1.054463652890095,0.6194276259993845,5.096145563274883,4,0.04
Batch_0,0.27586206896551724,0.5,6.323196221437458,13.968325804959424,5.873069829231919,0.6569002101569331,1.280423399731275,0.6527813307806375,5.004585602861123,4,0.04
Batch_0,0.3103448275862069,0.5,5.954050281641245,16.227696321632653,6.650835811838932,0.7494145056019791,1.593949871626344,0.6240979267435267,5.259565956140661,4,0.04
Batch_0,0.3448275862068966,0.5,6.371800269985554,14.945070757582604,7.115439972174688,0.8611673394627085,1.6768416137076203,0.6583774400339647,5.569031218438852,4,0.04
Batch_0,0.3793103448275862,0.5,5.313954584327412,14.906371690116098,7.195956838453436,1.0257240680521962,1.9869498873805993,0.6843400607305666,5.650331607496583,4,0.04
Batch_0,0.41379310344827586,0.5,5.267680599679354,14.24830527339688,7.7932796698214455,1.127071044838444,2.2479979310876113,0.6656690727151124,5.471227615764907,4,0.04
Batch_0,0.4482758620689655,0.5,5.168628542213151,15.121527673387998,8.001700195846588,1.2837452309378898,2.5800176849792775,0.6978514497567858,5.466366893844143,4,0.04
Batch_0,0.48275862068965514,0.5,5.001372288527775,14.160202191893239,8.23156191099391,1.3596000932379806,2.981715220808664,0.6708823307916698,5.519588855940034,4,0.04
Batch_0,0.5172413793103449,0.5,4.296617381470274,12.72573437958642,10.128249848110002,1.4361268367970679,3.0512623816728106,0.6106351158178217,5.84089911915702,4,0.04
Batch_0,0.5517241379310345,0.5,3.949833684855601,13.83352025465521,9.178151728830578,1.7663662142160763,3.553952710574084,0.6759413356496089,6.023565980688678,4,0.04
Batch_0,0.5862068965517241,0.5,3.418003497050437,13.80835339152568,10.042025320489152,1.9872680203837352,3.6814842277776694,0.6398832489589583,6.477153636981572,4,0.04
Batch_0,0.6206896551724138,0.5,3.135545881464006,13.65959616362534,12.449135385080199,2.0774018932632465,3.993163897197515,0.5841097177507084,6.281164537562679,4,0.04
Batch_0,0.6551724137931034,0.5,2.5577106925022215,13.408089776176421,12.45741318237898,2.3846099840396655,4.353699363049246,0.6039273222680308,6.547910762376681,4,0.04
Batch_0,0.6896551724137931,0.5,2.1633348077813643,12.909623726935118,12.73740565158834,2.4903827857148886,4.883487835858309,0.5561613541270697,6.333191657305587,4,0.04
Batch_0,0.7241379310344828,0.5,1.829321465093519,12.574740088830849,14.659027992172554,2.751250725060396,4.678437548736253,0.5704286093476235,6.697663694851551,4,0.04
Batch_0,0.7586206896551724,0.5,1.30626651188451,12.487339427170857,15.682738044018564,3.2257404269016283,5.017979556206419,0.5093252401217276,6.872199861490615,4,0.04
Batch_0,0.7931034482758621,0.5,0.9482723097999546,11.479939185119106,15.249666561302615,3.245187571065049,5.000053642824896,0.43364154995192633,6.932520452998684,4,0.04
Batch_0,0.8275862068965517,0.5,0.5580452947114535,10.981769645742517,16.503266924438403,3.5167844089537743,5.227573735174053,0.3825912662927703,7.082445223870021,4,0.04
Batch_0,0.8620689655172413,0.5,0.28353033177168474,11.567605696326211,17.97556191889685,3.5722217648648935,5.261918947362297,0.278705512862678,7.208288610784788,4,0.04
Batch_0,0.896551724137931,0.5,0.146282595278363,11.17209983607899,16.996138826163218,4.276104064584791,5.633751312688312,0.17400892713107108,7.353898451397694,4,0.04
Batch_0,0.9310344827586207,0.5,0.055862463293585886,11.0968337583615,17.72623992557072,4.335899974480108,5.7197016805626575,0.09303211156072747,7.559929118250305,4,0.04
